AccelerationX;AccelerationY;AccelerationZ;GyroscopeX;GyroscopeY;GyroscopeZ;Latitude;Longitude;Velocity;Altitude;Position;Hours;Minutes;Seconds;Date
-0,037460;0,009060;1,005310;-0,301440;-0,078190;0,237410;45,085692;14,156820;2,222400;157,700000;58,000000;10;44;57,688;06/01/2021
-0,037260;0,009460;1,005470;-0,310560;-0,076540;0,256520;45,085692;14,156818;2,222400;157,700000;60,600000;10;44;57,786;06/01/2021
-0,037170;0,009480;1,005950;-0,317610;-0,080850;0,208010;45,085690;14,156818;2,407600;157,800000;61,600000;10;44;58,041;06/01/2021
-0,037160;0,009610;1,005630;-0,310590;-0,069150;0,286690;45,085690;14,156818;2,592800;157,800000;56,100000;10;44;58,297;06/01/2021
-0,037340;0,009460;1,005760;-0,315920;-0,082140;0,160840;45,085692;14,156818;2,592800;157,700000;52,000000;10;44;58,554;06/01/2021
-0,036930;0,009280;1,005710;-0,324450;-0,077700;0,312990;45,085692;14,156818;2,592800;157,700000;54,200000;10;44;58,809;06/01/2021
-0,037250;0,009420;1,005950;-0,317890;-0,088370;0,277190;45,085693;14,156820;2,592800;157,600000;53,800000;10;44;59,065;06/01/2021
-0,036930;0,008750;1,005730;-0,312900;-0,096000;0,253700;45,085693;14,156818;2,592800;157,600000;48,500000;10;44;59,321;06/01/2021
-0,037260;0,009740;1,006160;-0,313250;-0,066360;0,266040;45,085693;14,156818;2,407600;157,700000;49,800000;10;44;59,577;06/01/2021
-0,037280;0,009310;1,005840;-0,320860;-0,071780;0,216760;45,085693;14,156817;2,037200;157,700000;47,200000;10;44;59,833;06/01/2021
-0,037020;0,009180;1,005350;-0,320770;-0,070770;0,301810;45,085692;14,156817;2,037200;157,800000;45,700000;10;45;00,088;06/01/2021
-0,037430;0,009470;1,005600;-0,323140;-0,091950;0,281540;45,085692;14,156817;2,037200;157,700000;50,300000;10;45;00,345;06/01/2021
-0,036930;0,009360;1,005430;-0,323650;-0,081080;0,262420;45,085692;14,156817;2,037200;157,800000;54,100000;10;45;00,602;06/01/2021
-0,037360;0,009170;1,005580;-0,321270;-0,086710;0,325360;45,085692;14,156815;2,037200;157,900000;54,400000;10;45;00,857;06/01/2021
-0,037430;0,009390;1,005640;-0,318650;-0,078670;0,267570;45,085692;14,156813;1,852000;157,900000;55,800000;10;45;01,113;06/01/2021
-0,036900;0,009310;1,005540;-0,308280;-0,079150;0,273920;45,085690;14,156812;2,037200;158,000000;55,900000;10;45;01,369;06/01/2021
-0,037260;0,009460;1,005570;-0,308570;-0,069330;0,258800;45,085690;14,156812;2,222400;158,100000;53,600000;10;45;01,626;06/01/2021
-0,037090;0,009230;1,005740;-0,316120;-0,080220;0,255460;45,085690;14,156812;2,407600;158,100000;53,400000;10;45;01,882;06/01/2021
-0,037420;0,009160;1,005910;-0,310660;-0,059900;0,228570;45,085690;14,156812;2,222400;158,200000;52,300000;10;45;02,137;06/01/2021
-0,036990;0,009540;1,005650;-0,320870;-0,072330;0,228410;45,085690;14,156810;2,037200;158,500000;48,900000;10;45;02,394;06/01/2021
